WEAPON	RANGE	TYPE	S	AP	D	ABILITIES 	COST
Daemonic axe	Melee	Melee	+1	-3	3	When attacking with this weapon, you must subtract 1 from the hit roll.	??
Death’s heads	12"	Assault 2	4	0	1	Plague Weapon	??
Decimator siege claw	Melee	Melee	+2	-3	3	-	??
Decimator storm laser	24"	Assault 5	6	-2	1	-	??
Defiler claws	Melee	Melee	x2	-3	D6	-	??
Defiler scourge	Melee	Melee	+4	-2	3	Each time the bearer fights, it can make 3 additional attacks with this weapon.	??
Demolisher cannon	24"	Heavy D6	10	-3	D6	Blast	??
Diseased claws and fangs	Melee	Melee	User	0	1	Re-roll wound rolls of 1 for this weapon.	??
Diseased claws and teeth	Melee	Melee	User	0	1	Plague Weapon	??
Dreadhammer siege cannon	24"	Heavy 2D6	10	-5	3	Blast_If the Typhon does not move in the Movement phase, then the range of this weapon is increased to 48" for the duration of the current turn.	??
Dreadstrike missiles	120"	Heavy 4	10	-3	2D3	-	??
Dual Malignatas saker	48"	Heavy 2	*	-5	D6	This weapon does not roll to wound as normal, instead roll 3D6 and compare the total rolled to the target model’s Leadership characteristic, if the total equals or exceeds the Leadership characteristic then the target model is wounded.	??
Ectoplasma battery	24"	Heavy 5	8	-3	3	If any hit roll made in a given phase results in a score or a ‘1’, then the firing unit suffers one mortal wound.	??
Ectoplasma blaster	18"	Assault 2	8	-3	2	If any hit roll made in a given phase results in a score of a ‘1’, then the firing unit suffers one mortal wound.	??
Ectoplasma cannon	24"	Heavy D3	7	-3	D3	Blast	??
Entropy cannon	36"	Heavy 1	8	-4	D6	-	??
Eternal hunger	Melee	Melee	User	-3	D3	-	??
Fanged maw and stinger	Melee	Melee	User	-1	1	-	??
Fellblade accelerator cannon - AE shells	100"	Heavy 2	14	-4	6	-	??
Fellblade accelerator cannon - HE shells	100"	Heavy 2D6	8	-3	2	Blast_When attacking units with five or more models, the dice rolled to decide the number of shots fired may be re-rolled.	??
Fist of decay	Melee	Melee	+3	-1	1	If an attack made with this weapon causes an unsaved wound to a model, roll a D6._On a 4+, the model suffers an additional D6 wounds.	??
Flail of corruption	Melee	Melee	+2	-2	2	Plague Weapon_Make D3 hit rolls for each attack with this weapon, instead of 1._Excess damage from this weapon is not lost; instead, keep allocating damage to another model in the target unit until either all the damage has been allocated or the unit has been destroyed.	??
Flamer	8"	Assault D6	4	0	1	This weapon automatically hits its target.	??
Fleshmower	Melee	Melee	+2	-2	2	Plague Weapon_Each time a Foetid Bloat-Drone fights, it can make 6 additional attacks with this weapon.	??
Fleshripper claws	Melee	Melee	+1	-2	2	-	??
Force axe	Melee	Melee	+1	-2	D3	-	??
Force stave	Melee	Melee	+2	-1	D3	-	??
Force sword	Melee	Melee	User	-3	D3	-	??
Frag grenade	6"	Grenade D6	3	0	1	Blast	??
Gaping maw	Melee	Melee	User	-3	3	All rolls of 6 to hit with this weapon become 3 hits each.	??
Gnashing maw	Melee	Melee	User	-2	1	Plague Weapon	??
Grasping tongue	7"	Pistol 1	4	0	1	-	??
Grav-flux bombard	18"	Heavy D3	9	-5	2	Blast_If the target model is a MONSTER, VEHICLE or TITANIC then the amount of Damage suffered from successful attacks becomes 5 per hit._For every five models in the target unit, add D3 to the number of attacks made by this weapon.	??
Great plague cleaver	Melee	Melee	x2	-3	D6	Plague Weapon_When attacking with this weapon, you must subtract 1 from the hit roll.	??
Greater havoc launcher	48"	Heavy 3D3	6	-1	1	Blast_This weapon can target units that are not visible to the bearer.	??
Havoc launcher	48"	Heavy D6	5	0	1	Blast	??
Heavy blight launcher	36"	Assault 6	6	-2	D3	Plague Weapon	??
Heavy bolter	36"	Heavy 3	5	-1	1	-	??
Heavy flamer	8"	Heavy D6	5	-1	1	This weapon automatically hits its target.	??
Heavy slugger	36"	Heavy 4	5	-1	1	-	??
Heavy stubber	36"	Heavy 3	4	0	1	-	??
Helbrute fist	Melee	Melee	x2	-3	3	-	??
Helbrute hammer	Melee	Melee	x2	-4	D6	When attacking with this weapon, you must subtract 1 from the hit roll.	??
Helbrute plasma cannon	36"	Heavy D3	8	-3	2	Blast_For each hit roll of 1, the bearer suffers a mortal wound after all of this weapon’s shots have been resolved.	??
Hellflamer	8"	Heavy D6	5	-1	2	This weapon automatically hits its target.	??
Hellforged chainclaw	Melee	Melee	x2	-4	4	-	??
Hellforged deathclaw	Melee	Melee	x2	-3	3	-	??
Hellforged siege claw	Melee	Melee	x2	-3	3	Re-roll failed wound rolls against INFANTRY.	??
Hellforged siege drill	Melee	Melee	x2	-4	4	-	??
Hellforged sword	Melee	Melee	User	-2	3	-	??
Hellstrike battery	72"	Heavy 4	8	-3	3	-	??
Hellstrike missiles	72"	Heavy 2	8	-3	3	-	??
Helstorm cannon	36"	Heavy 2	6	-2	3	Each time you roll a wound roll of 6+ for this weapon, the target suffers a mortal wound in addition to any other damage.	??
Hideous mutations	Melee	Melee	User	-2	2	-	??
Hideous mutations	Melee	Melee	User	-2	2	-	??
Horrific vomit	9"	Pistol 2D6	6	-2	D3	This weapon hits automatically.	??
Horrifying mutations	Melee	Melee	User	-2	1	-	??
Hunter-killer missile	48"	Heavy 1	8	-2	D6	The bearer can only shoot with each hunter-killer missile it is equipped with once per battle.	??
Hyper blight grenade	6"	Grenade D6	4	0	2	Blast_Plague Weapon_Each wound roll of 6+ made for this weapon inflicts a mortal wound on the target in addition to any other damage.	??
Improvised weapon	Melee	Melee	User	0	1	-	??
Infernal flamestorm cannon	8"	Heavy 2D6	5	-1	2	This weapon automatically hits its target.	??
Infernal hunger	Melee	Melee	User	-3	1	-	??
Injector pistol	3"	Pistol 1	4	-1	D6	Plague Weapon_This weapon's Damage changes to 1 when attacking VEHICLES.	??
Iron claw	Melee	Melee	x2	-3	D6	-	??
Kharybdis storm launchers	24"	Heavy 3	6	-1	1	-	??
Kheres assault cannon	24"	Heavy 6	7	-1	1	-	??
Krak grenade	6"	Grenade 1	6	-1	D3	-	??
Lascannon	48"	Heavy 1	9	-3	D6	-	??
Laser destroyer	36"	Heavy 1	12	-4	D6	If this weapon successfully inflicts damage, roll an additional D6._On a result of a ‘3-5’, the weapon’s Damage is increased to 2D6._On a result of a ‘6’, the weapon’s Damage is increased to 3D6.	??
Laser volley cannon - Overcharge fire	36"	Heavy 2	10	-5	6	If any hit rolls made for this weapon result in one or more results of a ‘1’, the firing vehicle suffers 3 mortal wounds.	??
Laser volley cannon - Volley fire	36"	Heavy 2	9	-3	3	-	??
Lightning claw	Melee	Melee	User	-2	1	You can re-roll failed wound rolls for this weapon._If a model is armed with two lightning claws, each time it fights it can make 1 additional attack with them.	??
Mace of contagion	Melee	Melee	+2	-1	3	Plague Weapon_When attacking with this weapon, you must subtract 1 from the hit roll.	??
Magna-melta cannon	24"	Heavy D3	10	-4	D6	Blast_If the target of an attack by this weapon is within half range, roll an additional dice when inflicting damage and discard the lowest result.	??
Malefic talons	Melee	Melee	User	-2	2	Each time a model with malefic talons fights, it can make 1 additional attack with this weapon._A model armed with two sets of malefic talons can make 3 additional attacks with them instead.	??
Malignatas beam cannon	72"	Heavy 4	*	-5	4+D6	This weapon does not roll to wound as normal, instead roll 3D6 and compare the total rolled to the target model’s Ld characteristic, if the total equals or exceeds the Ld characteristic then the target model is wounded.	??
Malignatas beam laser	36"	Heavy 1	*	-5	2D6	The player with this weapon does not roll to wound as normal, instead roll 3D6 and compare the total rolled to the target model’s Leadership characteristic, if the total equals or exceeds it then the target model is wounded.	??
Manreaper	Melee	Melee	+3	-3	D3	Plague Weapon	??
Master-crafted manreaper	Melee	Melee	+3	-3	3	Plague Weapon	??
Melta cutter	12"	Assault D3	8	-4	D6	If the target is within half range of this weapon, roll two dice when inflicting damage with it and discard the lowest result.	??
Melta cutters	Melee	Melee	16	-5	2D6	Normal attacks may not be made using this profile, instead if the Hellforged Kharybdis successfully charges a model with the VEHICLE, MONSTER or TITANIC keywords, the controlling player may choose to forfeit all of its standard attacks to make a single attack with this profile that hits its target on a 2+.	??
Meltagun	12"	Assault 1	8	-4	D6	If the target is within half range of this weapon, roll two dice when inflicting damage with it and discard the lowest result.	??
Missile launcher - Frag missile	48"	Heavy D6	4	0	1	Blast	??
Missile launcher - Krak missile	48"	Heavy 1	8	-2	D6	-	??
Multi-melta	24"	Heavy 1	8	-4	D6	If the target is within half range of this weapon, roll two dice when inflicting damage with it and discard the lowest result.	??
Mutated limbs and improvised weapons	Melee	Melee	User	-1	1	-	??
Nurglings	Melee	Melee	2	0	1	After this model makes its close combat attacks, the Nurglings infesting Scabeiathrax the Bloated make their attacks separately._Make D6 additional attacks using this weapon profile._You can re-roll wound rolls of a 1 for these attacks.	??
Nurglings’ claws and teeth	Melee	Melee	2	0	1	When the bearer fights, it makes D6 additional attacks with this weapon and no more than those D6 attacks can be made with this weapon._When resolving an attack made with this weapon, re-roll a wound roll of 1.	??
Phosphex bombs	6"	Grenade 2D6	5	-1	1	Blast	??
Plague belcher	9"	Assault D6	4	0	1	Plague Weapon_This weapon automatically hits its target.	??
Plague cleaver	Melee	Melee	User	-2	2	Re-roll wound rolls of 1 for this weapon.	??
Plague knife	Melee	Melee	User	0	1	Plague Weapon	??
Plague probe	Melee	Melee	User	-2	D3	You can re-roll wound rolls of 1 for this weapon.	??
Plague probe	Melee	Melee	User	-2	D3	Plague Weapon	??
Plague spewer	9"	Heavy D6	5	-1	1	Plague Weapon_This weapon automatically hits its target.	??
Plague sprayer	9"	Assault D6	2D6	-3	3	Plague Weapon_This weapon automatically hits its target._Roll to determine the Strength of this weapon after selecting a target but before determining how many shots are fired.	??
Plagueburst mortar	12"-48"	Heavy D6	8	-2	D3	Blast_Plague Weapon_This weapon can target units that are not visible to the firing model.	??
Plaguereaper	Melee	Melee	+2	-3	3	Plague Weapon	??
Plaguespitter	9"	Assault D6	User	-1	1	Plague Weapon_This weapon automatically hits its target.	??
Plaguespurt gauntlet	6"	Pistol D6	3	0	1	Plague Weapon_This weapon automatically hits its target.	??
Plaguesword	Melee	Melee	User	0	1	You can re-roll failed wound rolls for this weapon.	??
Plasma destroyer	36"	Heavy 2D3	7	-3	2	Blast	??
Plasma gun - Standard	24"	Rapid Fire 1	7	-3	1	-	??
Plasma gun - Supercharge	24"	Rapid Fire 1	8	-3	2	On a hit roll of 1, the bearer is slain after all of this weapon’s shots have been resolved.	??
Plasma pistol - Standard	12"	Pistol 1	7	-3	1	-	??
Plasma pistol - Supercharge	12"	Pistol 1	8	-3	2	On a hit roll of 1, the bearer is slain.	??
Power axe	Melee	Melee	+1	-2	1	-	??
Power fist	Melee	Melee	x2	-3	D3	When attacking with this weapon, you must subtract 1 from the hit roll.	??
Power maul	Melee	Melee	+2	-1	1	-	??
Power scourge	Melee	Melee	+2	-2	2	Each time the bearer fights, it can make 3 additional attacks with this weapon.	??
Power sword	Melee	Melee	User	-3	1	-	??
Pox pistol	12"	Pistol 1	4	-1	2	-	??
Predator autocannon	48"	Heavy 2D3	7	-1	3	-	??
Prehensile proboscis	Melee	Melee	4	0	2	After a model riding a Rot Fly makes its close combat attacks, you can attack with its mount._Make 4 additional attacks using this weapon profile._You can re-roll failed wound rolls for these attacks.	??
Pustulant stomp	Melee	Melee	+2	-3	D3	When targeting a unit with this weapon during the Fight phase, add +3 to the Damage caused if the target unit has the INFANTRY keyword.	??
Putrid appendages	Melee	Melee	User	0	2	You can re-roll failed wound rolls for this weapon.	??
Quad heavy bolter	36"	Heavy 12	5	-1	1	-	??
Quad lascannon	48"	Heavy 4	9	-3	D6	-	??
Rancid vomit	7"	Pistol D6	5	-2	1	This weapon automatically hits its target.	??
Reaper autocannon	36"	Heavy 4	7	-1	1	-	??
Reaper battery	36"	Heavy 6	7	-1	1	-	??
Rider’s plaguesword	Melee	Melee	4	0	1	After all other attacks have been made by a model equipped with this weapon during the Fight phase, it may make an additional two attacks using this weapon profile, re-rolling all failed wound rolls.	??
Rot cannon	36"	Heavy D6	6	-3	2	Blast_Against INFANTRY targets, failed wound rolls for this weapon are re-rolled.	??
Rothail volley gun	24"	Heavy 3	6	-2	1	-	??
Scorpius multi-launcher	48"	Heavy 3D3	6	-2	2	Blast_This weapon can target units not visible to the firing model.	??
Shotgun	12"	Assault 2	3	0	1	If the target is within half range, add 1 to this weapon’s Strength.	??
Siege melta array	12"	Heavy 4D3	9	-4	D6	If the target is within half range of this weapon, roll two dice when inflicting damage with it and discard the lowest result.	??
Silence - Eviscerating blow	Melee	Melee	x2	-4	D6	Plague Weapon	??
Silence - Reaping scythe	Melee	Melee	User	-2	1	Plague Weapon_Make 3 hit rolls for each attack with this weapon, instead of 1.	??
Skyreaper battery	48"	Heavy 8	7	-1	5	Add 1 to all hit rolls made for this weapon against targets that can FLY._Subtract 1 from the hit rolls made for this weapon against all other targets.	??
Soulburner	24"	Assault D3	-	0	1	Each successful hit roll made with this weapon inflicts a mortal wound instead of the normal damage.	??
Soulburner bombard	48"	Heavy 2D3	-	0	1	Blast_Each successful hit roll made with this weapon inflicts a mortal wound instead of the normal damage._This weapon may target enemy units which the bearer cannot see.	??
Soulburner petard	24"	Assault 2D3	-	0	1	Each successful hit roll made with this weapon inflicts a mortal wound instead of the normal damage._If any hit roll made in a given phase results in a score or a ‘1’, then the firing unit suffers one mortal wound._This effect can only occur once per phase regardless of how many results of ‘1’ are rolled.	??
Soulburner ribaudkin	18"	Heavy 2D3	-	0	1	Each successful hit roll made with this weapon inflicts a mortal wound instead of the normal damage.	??
Soulstalker missiles	60"	Heavy D3	7	-2	2	Blast_Each time you roll a wound roll of 5+ for this weapon, the target suffers a mortal wound in addition to the weapon's normal damage.	??
Spawning barb	Melee	Melee	User	0	1	Each unmodified hit roll of 6 made for this weapon automatically results in a wound (do not make a wound roll for that attack).	??
Storm bolter	24"	Rapid Fire 2	4	0	1	-	??
Tainted force blade	Melee	Melee	+1	-2	D3	You can re-roll wound rolls of 1 for this weapon.	??
Termite drill	Melee	Melee	x2	-4	3	After the bearer has made all of its attacks, roll a D6 for each model that suffered damage from this weapon this phase but has not been destroyed; on a 2+ the model being rolled for suffers a mortal wound and, if that model is not destroyed, you can roll another D6._This time, that model suffers a mortal wound on a 3+._Keep rolling a D6, increasing the result required to cause a mortal wound by 1 each time, until the model being rolled for is destroyed or the roll is failed.	??
The Destroyer Hive	6"	Pistol 2D6	4	-3	1	This weapon hits on hit rolls of 5+ (even when firing Overwatch), regardless of any modifiers.	??
The Lantern	18"	Pistol 1	8	-3	3	If you hit with this weapon, draw a straight line between the closest point of Mortarion’s base and that of the closest model in the target unit._Make a single wound roll against the target unit and each unit the centre of the line passes over.	??
Thermal jet array	6"	Pistol D6	8	-1	D3	When fired, this weapon automatically inflicts D6 hits on each unit, friendly or enemy, with at least one model within range._The weapon can only be used if more enemy units will be affected than friendly ones.	??
Thermal jets	6"	Pistol D6	6	-1	1	When fired, this weapon automatically inflicts D6 hits on each unit, friendly or enemy, with at least one model within range._The weapon can only be used if more enemy units will be affected than friendly ones.	??
Thunderhawk heavy cannon	48"	Heavy 2D6	8	-2	D6	Blast	??
Turbo-laser destructor	96"	Heavy D3	16	-4	2D6	Blast_Any wound roll of a 6 made with this attack automatically inflicts an additional D3 mortal wounds on the target.	??
Twin accelerator autocannon	48"	Assault 8	7	-1	2	Attacks made with this weapon suffer no penalty to its hit roll when targeting units with the FLY keyword._In addition, every wound roll of 6+ made with this weapon increases the AP of that individual wound to -3.	??
Twin autocannon	48"	Heavy 4	7	-1	2	-	??
Twin avenger bolt cannon	36"	Heavy 10	6	-2	2	-	??
Twin heavy bolter	36"	Heavy 6	5	-1	1	-	??
Twin heavy flamer	8"	Heavy 2D6	5	-1	1	This weapon automatically hits its target.	??
Twin lascannon	48"	Heavy 2	9	-3	D6	-	??
Twin multi-melta	24"	Heavy 2	8	-4	D6	If the target is within half range of this weapon, roll two dice when inflicting damage with it and discard the lowest result.	??
Twin volcano cannon	120"	Heavy 2D6	16	-5	2D6	Blast_You can re-roll failed wound rolls when targeting TITANIC models with this weapon.	??
Twin volkite charger	15"	Heavy 4	5	0	2	-	??
Vengeance launcher	48"	Heavy 2D6	5	-1	1	Blast	??
Warp bolter	24"	Assault 2	4	-1	2	-	??
Warpsword	Melee	Melee	User	-3	3	You can re-roll failed hit rolls for this weapon.	??
Yawning maw	Melee	Melee	5	-1	D3	All hit rolls of a 6 made when using this weapon generate a single additional automatic hit.	??
